date,home_team,away_team,home_att,away_att,home_mid,away_mid,home_def,away_def,home_score,away_score,home_rank,away_rank,home_rankpoint,away_rankpoint,tournament,city,country,neutral
2021-03-27,Russia,Slovenia,79,76,75,72,76,71,2,1,39,62,1461,1379,FIFA World Cup qualification,Sochi,Russia,FALSE
2021-03-28,Northern Ireland,United States,65,75,70,74,71,74,1,2,45,22,1440,1548,Friendly,Belfast,Northern Ireland,FALSE
2021-03-28,Bulgaria,Italy,69,83,67,82,67,82,0,2,68,10,1350,1625,FIFA World Cup qualification,Sofia,Bulgaria,FALSE
2021-03-28,Romania,Germany,73,84,73,84,72,82,0,1,37,13,1466,1610,FIFA World Cup qualification,Bucharest,Romania,FALSE
2021-03-29,Ecuador,Bolivia,74,65,72,66,75,65,2,1,57,79,1409,1307,Friendly,Guayaquil,Ecuador,FALSE
2021-03-30,Wales,Czech Republic,70,77,75,76,74,77,1,0,18,42,1562,1456,FIFA World Cup qualification,Cardiff,Wales,FALSE
2021-03-31,Switzerland,Finland,75,70,79,69,77,66,3,2,16,55,1593,1411,Friendly,St. Gallen,Switzerland,FALSE
2021-03-31,Northern Ireland,Bulgaria,65,69,70,67,71,67,0,0,45,68,1440,1350,FIFA World Cup qualification,Belfast,Northern Ireland,FALSE
2021-03-31,Austria,Denmark,82,76,78,79,78,78,0,4,23,12,1531,1614,FIFA World Cup qualification,Vienna,Austria,FALSE
2021-03-31,England,Poland,85,80,83,75,82,73,2,1,4,19,1670,1559,FIFA World Cup qualification,London,England,FALSE
2021-05-29,Mexico,Iceland,81,70,77,71,76,69,2,1,11,52,1629.56,1415.99,Friendly,Arlington,United States,TRUE
2021-05-29,Sweden,Finland,77,72,74,70,75,66,2,0,18,54,1569.81,1410.82,Friendly,Stockholm,Sweden,FALSE
2021-05-30,Switzerland,United States,75,75,78,74,77,75,2,1,13,20,1606.21,1555.42,Friendly,St. Gallen,Switzerland,FALSE
2021-06-01,Poland,Russia,81,77,75,76,74,75,1,1,21,38,1549.87,1462.65,Friendly,Wrocław,Poland,FALSE
2021-06-02,England,Austria,86,73,83,78,81,76,1,0,4,23,1686.78,1523.42,Friendly,London,England,FALSE
2021-06-02,France,Wales,84,77,85,74,82,72,3,0,2,17,1757.3,1570.36,Friendly,Nice,France,FALSE
2021-06-02,Germany,Denmark,84,76,85,78,81,77,1,1,12,10,1609.12,1631.55,Friendly,Innsbruck,Austria,TRUE
2021-06-02,Netherlands,Scotland,81,73,81,74,84,72,2,2,16,44,1598.04,1441.43,Friendly,São João da Venda,Portugal,TRUE
2021-06-03,Belgium,Greece,85,72,83,75,80,73,1,1,1,51,1783.38,1418.7,Friendly,Brussels,Belgium,FALSE
2021-06-03,Bolivia,Venezuela,65,74,66,73,65,71,3,1,81,30,1300.11,1500.71,FIFA World Cup qualification,La Paz,Bolivia,FALSE
2021-06-03,Uruguay,Paraguay,79,75,79,74,78,72,0,0,9,35,1639.08,1476.02,FIFA World Cup qualification,Montevideo,Uruguay,FALSE
2021-06-03,Argentina,Chile,85,77,83,76,79,75,1,1,8,19,1641.95,1569.52,FIFA World Cup qualification,Santiago del Estero,Argentina,FALSE
2021-06-03,Peru,Colombia,75,81,74,80,73,77,0,3,27,15,1511.88,1600.66,FIFA World Cup qualification,Lima,Peru,FALSE
2021-06-04,Italy,Czech Republic,83,78,82,76,82,76,4,0,7,40,1642.06,1458.81,Friendly,Bologna,Italy,FALSE
2021-06-04,Spain,Portugal,82,85,83,82,83,83,0,0,6,5,1648.13,1666.12,Friendly,Madrid,Spain,FALSE
2021-06-04,Brazil,Ecuador,81,74,79,72,80,75,2,0,3,53,1742.65,1413.01,FIFA World Cup qualification,Porto Alegre,Brazil,FALSE
2021-06-06,England,Romania,86,73,83,75,81,70,1,0,4,43,1686.78,1449.23,Friendly,London,England,FALSE
2021-06-06,Norway,Greece,79,72,76,75,74,73,1,2,42,51,1452.34,1418.7,Friendly,Málaga,Spain,TRUE
2021-06-06,United States,Mexico,75,81,74,77,75,76,3,2,20,11,1555.42,1629.56,CONCACAF Nations League,Denver,United States,FALSE
2021-06-08,France,Bulgaria,84,67,85,68,82,66,3,0,2,71,1757.3,1339.03,Friendly,Paris,France,FALSE
2021-06-08,Hungary,Republic of Ireland,72,71,71,72,74,75,0,0,37,47,1468.75,1427.22,Friendly,Budapest,Hungary,FALSE
2021-06-08,Poland,Iceland,81,70,75,71,74,69,2,2,21,52,1549.87,1415.99,Friendly,Poznań,Poland,FALSE
2021-06-08,Ecuador,Peru,74,75,72,74,75,73,1,2,53,27,1413.01,1511.88,FIFA World Cup qualification,Quito,Ecuador,FALSE
2021-06-08,Colombia,Argentina,81,85,80,83,77,79,2,2,15,8,1600.66,1641.95,FIFA World Cup qualification,Barranquilla,Colombia,FALSE
2021-06-08,Venezuela,Uruguay,74,79,73,79,71,78,0,0,30,9,1500.71,1639.08,FIFA World Cup qualification,Caracas,Venezuela,FALSE
2021-06-08,Paraguay,Brazil,75,81,74,79,72,80,0,2,35,3,1476.02,1742.65,FIFA World Cup qualification,Asunción,Paraguay,FALSE
2021-06-08,Chile,Bolivia,77,65,76,66,75,65,1,1,19,81,1569.52,1300.11,FIFA World Cup qualification,Santiago,Chile,FALSE
2021-06-11,Italy,Turkey,83,79,82,76,82,75,3,0,7,29,1642.06,1505.05,UEFA Euro,Rome,Italy,FALSE
2021-06-12,Wales,Switzerland,77,75,74,78,72,77,1,1,17,13,1570.36,1606.21,UEFA Euro,Cardiff,Wales,FALSE
2021-06-12,Denmark,Finland,76,72,79,70,79,66,0,1,10,54,1631.55,1410.82,UEFA Euro,Copenhagen,Denmark,FALSE
2021-06-12,Russia,Belgium,77,85,76,83,75,80,0,3,38,1,1462.65,1783.38,UEFA Euro,Saint Petersburg,Russia,FALSE
2021-06-13,Brazil,Venezuela,81,76,80,73,80,70,3,0,3,30,1742.65,1500.71,Copa América,Brasília,Brazil,FALSE
2021-06-13,Colombia,Ecuador,80,74,77,72,76,75,1,0,15,53,1600.66,1413.01,Copa América,Cuiabá,Brazil,TRUE
2021-06-14,Scotland,Czech Republic,72,78,76,76,76,76,0,2,44,40,1441.43,1458.81,UEFA Euro,Glasgow,Scotland,FALSE
2021-06-14,Spain,Sweden,82,77,83,75,82,74,0,0,6,18,1648.13,1569.81,UEFA Euro,Seville,Spain,FALSE
2021-06-14,Argentina,Chile,86,74,82,76,80,74,1,1,8,19,1641.95,1569.52,Copa América,Rio de Janeiro,Brazil,TRUE
2021-06-14,Paraguay,Bolivia,72,65,74,65,72,66,3,1,35,81,1476.02,1300.11,Copa América,Goiânia,Brazil,TRUE
2021-06-15,Hungary,Portugal,72,85,71,82,74,83,0,3,37,5,1468.75,1666.12,UEFA Euro,Budapest,Hungary,FALSE
2021-06-15,Germany,France,84,87,85,85,81,82,0,1,12,2,1609.12,1757.3,UEFA Euro,Munich,Germany,FALSE
2021-06-16,Turkey,Wales,79,77,76,74,75,72,0,2,29,17,1505.05,1570.36,UEFA Euro,Baku,Azerbaijan,TRUE
2021-06-16,Italy,Switzerland,83,75,82,78,82,77,3,0,7,13,1642.06,1606.21,UEFA Euro,Rome,Italy,FALSE
2021-06-16,Russia,Finland,77,72,76,70,75,66,1,0,38,54,1462.65,1410.82,UEFA Euro,Saint Petersburg,Russia,FALSE
2021-06-17,Denmark,Belgium,76,85,80,83,78,80,1,2,10,1,1631.55,1783.38,UEFA Euro,Copenhagen,Denmark,FALSE
2021-06-17,Netherlands,Austria,81,78,83,78,83,77,2,0,16,23,1598.04,1523.42,UEFA Euro,Amsterdam,Netherlands,FALSE
2021-06-17,Colombia,Venezuela,79,75,78,70,76,67,0,0,15,30,1600.66,1500.71,Copa América,Goiânia,Brazil,TRUE
